Teams,Abbreviation,Matches ,Won,Lost,No result,Win %,Titles
Chennai Super Kings,CSK,195,117,76,1,60.56,4
Mumbai Indians,MI,217,125,88,0,58.60,5
Delhi Capitals,DC,210,93,111,2,45.67,0
Kolkata Knight Riders,KKR,209,107,98,0,52.15,2
Punjab Kings,PBKS,204,91,109,0,45.58,0
Rajasthan Royals,RR,175,84,86,2,49.42,1
Royale Challenge Bangalore,RCB,211,98,106,4,48.06,0
Sunrisers Hyderabad,SRH,138,68,66,0,50.72,1
Deccan Chargers,DC,75,29,46,0,38.66,1
Kochi Tuskers Kerala,KTK,14,6,8,0,42.85,0
Pune Warriors India,PWI,46,12,33,0,26.66,0
Gujarat Lions,GL,30,13,16,1,45.00,0
Rising Pune Suparjiants,RPS,30,15,15,0,50.00,0
